County,Year,HDU,HDUday
Fresno,2013,675.2203607,119.7582865
Glenn,2013,548.1636564,125.1071429
Imperial,2013,1079.275532,109.7012987
Inyo,2013,192.0804846,171.3802817
Kern,2013,582.1987103,121.5658307
Kings,2013,647.6748787,121.0114943
Lake,2013,255.7023689,151.8523316
LosAngeles,2013,416.7284654,137.9916963
Madera,2013,620.0093407,121.0707443
Marin,2013,199.5641553,151.2916667
Merced,2013,550.7614063,123.236938
Monterey,2013,210.0567005,167.2
Napa,2013,267.3870712,146.6666667
Nevada,2013,144.0394793,168
NULL,2013,736.7287728,118.3333333
Orange,2013,461.3741096,130.2776801
Placer,2013,434.6917362,136.4913071
Riverside,2013,732.1171246,121.3910412
Sacramento,2013,464.5594457,129.1690768
SaltLake,2013,160.2547169,172.7037037
San Bernardino,2013,804.9838377,124.6875
SanBenito,2013,177.3361162,171.5833333
SanBernardino,2013,391.036352,144.2172635
SanDiego,2013,356.6394289,138.4888944
SanFrancisco,2013,236.2297931,141
SanJoaquin,2013,514.0037971,127.4888211
SanLuisObispo,2013,215.8397197,148
SanMateo,2013,216.456292,146.9890156
SantaBarbara,2013,192.9564137,149.7126437
SantaClara,2013,231.0488725,145.6662407
SantaCruz,2013,194.257118,154.0073529
Shasta,2013,482.1221849,133
Solano,2013,372.6338078,135.6018237
Sonoma,2013,214.2276706,151.8410256
Stanislaus,2013,494.3623467,125.0124346
Sutter,2013,558.9092207,125.7321429
Tehama,2013,582.6672706,123.5384615
Tulare,2013,618.2990761,121.9647577
Ventura,2013,329.4262474,135.6081081
Yolo,2013,511.2880373,125.6897163
Yuba,2013,562.2788622,125.8461538
Alameda,2014,203.5091972,140.2412747
Butte,2014,303.9699366,134.359375
Cache,2014,38.69844329,195
Calaveras,2014,268.7200985,143
Colusa,2014,314.2370634,134.71875
ContraCosta,2014,225.916835,141.0070922
Davis,2014,85.54204019,184
Fresno,2014,495.4041569,114.3946344
Glenn,2014,344.574723,130.8928571
Imperial,2014,1039.396825,109.1753247
Inyo,2014,146.4093235,174.3943662
Kern,2014,408.0845494,121.3636364
Kings,2014,459.7968963,114.091954
Lake,2014,160.3253464,148.5362694
LosAngeles,2014,288.8890955,137.5516014
