County,Year,AnnualPrecip
Monterey,2012,426.9395821
Napa,2012,655.8683378
Nevada,2012,1313.651615
NULL,2012,524.5193748
Orange,2012,286.8305214
Placer,2012,549.3138404
Riverside,2012,191.4173927
Sacramento,2012,444.4874841
SaltLake,2012,586.2862935
San Bernardino,2012,238.9319988
SanBenito,2012,346.9431638
SanBernardino,2012,372.1750693
SanDiego,2012,292.4999491
SanFrancisco,2012,456.1245294
SanJoaquin,2012,270.0592899
SanLuisObispo,2012,334.0993246
SanMateo,2012,571.016115
SantaBarbara,2012,382.9415011
SantaClara,2012,601.0165164
SantaCruz,2012,487.5784592
Shasta,2012,1188.838574
Solano,2012,519.1500389
Sonoma,2012,813.9002432
Stanislaus,2012,262.1162034
Sutter,2012,571.3447219
Tehama,2012,702.3456984
Tulare,2012,195.2851587
Ventura,2012,384.7195535
Yolo,2012,471.4828815
Yuba,2012,590.2498039
Alameda,2013,433.5784889
Butte,2013,754.7741507
Cache,2013,558.3229321
Calaveras,2013,565.3308178
Colusa,2013,626.3584642
ContraCosta,2013,459.5409077
Davis,2013,665.4523891
Fresno,2013,256.6572659
Glenn,2013,628.0608692
Imperial,2013,142.1993516
Inyo,2013,491.6571246
Kern,2013,157.9472345
Kings,2013,202.3485045
Lake,2013,908.2149881
LosAngeles,2013,497.8195907
Madera,2013,254.383365
Marin,2013,748.6142158
Merced,2013,292.5208584
Monterey,2013,448.5108799
Napa,2013,716.0019414
Nevada,2013,1143.343288
NULL,2013,550.004075
Orange,2013,400.773941
Placer,2013,523.8034204
Riverside,2013,237.0837383
Sacramento,2013,431.9503902
SaltLake,2013,648.9830515
San Bernardino,2013,318.6176271
SanBenito,2013,381.3513668
SanBernardino,2013,503.2952236
SanDiego,2013,378.7493778
SanFrancisco,2013,486.1957816
SanJoaquin,2013,277.9561551
SanLuisObispo,2013,473.0020565
SanMateo,2013,515.7906728
SantaBarbara,2013,505.4297983
SantaClara,2013,516.3298453
SantaCruz,2013,469.329823
Shasta,2013,1047.912122
Solano,2013,554.7816971
Sonoma,2013,850.7526794
Stanislaus,2013,313.1692987
Sutter,2013,534.7768398
Tehama,2013,663.5954545
Tulare,2013,210.2123758
Ventura,2013,443.2905306
Yolo,2013,470.2460663
Yuba,2013,549.1000628
Alameda,2014,596.8612295
Butte,2014,1047.199002
Cache,2014,747.4175214
Calaveras,2014,854.483704
Colusa,2014,802.0080891
ContraCosta,2014,635.295818
Davis,2014,780.0622005
Fresno,2014,345.0641105
Glenn,2014,838.4417991
